100.0,93.0
100.0,94.0
100.0,94.0
100.0,95.0
100.0,95.0
100.0,96.0
100.0,95.0
100.0,95.0
100.0,97.0
100.0,93.0
100.0,94.0
100.0,95.0
100.0,95.0
100.0,94.0
100.0,95.0
100.0,94.0
100.0,95.0
100.0,97.0
100.0,97.0
100.0,97.0
100.0,95.0
100.0,93.0
100.0,94.0
100.0,95.0
100.0,95.0
100.0,95.0
100.0,95.0
100.0,95.0
100.0,94.0
100.0,96.0
100.0,96.0
100.0,93.0
100.0,96.0
100.0,96.0
100.0,95.0
100.0,96.0
100.0,96.0
100.0,96.0
100.0,96.0
100.0,96.0
100.0,98.0
100.0,96.0
100.0,98.0
100.0,98.0
100.0,96.0
100.0,96.0
100.0,98.0
100.0,98.0
100.0,98.0
100.0,98.0
100.0,98.0
100.0,98.0
100.0,97.0
100.0,98.0
100.0,102.0
100.0,97.0
100.0,97.0
100.0,97.0
100.0,98.0
100.0,99.0
100.0,100.0
100.0,98.0
100.0,99.0
100.0,99.0
100.0,99.0
100.0,97.0
100.0,99.0
100.0,97.0
100.0,99.0
100.0,99.0
100.0,98.0
100.0,97.0
100.0,100.0
100.0,99.0
100.0,99.0
100.0,98.0
100.0,97.0
100.0,97.0
100.0,97.0
100.0,96.0
100.0,98.0
100.0,99.0
100.0,97.0
100.0,97.0
100.0,99.0
100.0,99.0
100.0,98.0
100.0,99.0
100.0,97.0
100.0,97.0
100.0,99.0
100.0,97.0
100.0,97.0
100.0,97.0
100.0,98.0
100.0,97.0
100.0,97.0
100.0,99.0
100.0,98.0
100.0,96.0
100.0,100.0
100.0,99.0
100.0,98.0
100.0,96.0
100.0,97.0
